region,Provincia,ubigeo,popInfant,popElder,sick_elder,sick_infant,infant_share,elder_share
Amazonas,Chachapoyas,101,2645,5062,2,2,0.07561436672967864,0.039510075069142635
Amazonas,Bagua,102,4539,4454,220,166,3.6571932143643973,4.939380332285586
Amazonas,Bongara,103,1269,2157,0,0,0.0,0.0
Amazonas,Condorcanqui,104,3882,838,35,29,0.7470376094796497,4.176610978520286
Amazonas,Rodríguez de Mendoza,106,1580,2828,0,0,0.0,0.0
Amazonas,Utcubamba,107,5971,7728,161,122,2.0432088427399098,2.0833333333333335
Áncash,Huaraz,201,8317,14559,0,0,0.0,0.0
Áncash,Casma,208,2714,4360,203,47,1.7317612380250553,4.655963302752293
Áncash,Huarmey,211,1576,2824,1,0,0.0,0.03541076487252125
Áncash,Pallasca,215,1266,2619,0,0,0.0,0.0
Áncash,Santa,218,20536,41165,211,30,0.1460849240358395,0.5125713591643386
Arequipa,Arequipa,401,48728,94505,0,0,0.0,0.0
Arequipa,Caravelí,403,2069,2980,0,0,0.0,0.0
Ayacucho,Huamanga,501,15008,19530,0,2,0.013326226012793176,0.0
Ayacucho,Cangallo,502,1467,3768,0,0,0.0,0.0
Ayacucho,Huanta,504,5111,6238,135,88,1.721776560360008,2.164155177941648
Ayacucho,La Mar,505,3918,4660,232,94,2.399183256763655,4.978540772532189
Ayacucho,Lucanas,506,2247,7165,0,0,0.0,0.0
Ayacucho,Parinacochas,507,1206,2822,0,0,0.0,0.0
Ayacucho,Páucar del Sara Sara,508,428,1395,1,0,0.0,0.07168458781362007
Ayacucho,Sucre,509,366,1448,1,0,0.0,0.06906077348066299
Cajamarca,Cajamarca,601,19102,25062,0,0,0.0,0.0
Cajamarca,Celendín,603,4076,7727,0,0,0.0,0.0
Cajamarca,Chota,604,6867,15558,2,0,0.0,0.012855122766422419
Cajamarca,Contumazá,605,1321,3429,28,1,0.0757002271006813,0.8165645960921551
Cajamarca,Cutervo,606,5713,11168,13,4,0.07001575354454752,0.11640401146131805
Cajamarca,Hualgayoc,607,3445,7623,0,0,0.0,0.0
Cajamarca,Jaén,608,9902,13404,575,374,3.7770147444960616,4.289764249477768
Cajamarca,San Ignacio,609,7898,8359,64,22,0.2785515320334262,0.7656418231845915
Cajamarca,San Miguel,611,2017,6115,0,0,0.0,0.0
Cajamarca,Santa Cruz,613,1714,4792,0,0,0.0,0.0
Callao,Callao,701,45349,84919,0,0,0.0,0.0
Cusco,Cusco,801,21466,30336,0,0,0.0,0.0
Cusco,Calca,804,3181,5165,2,0,0.0,0.03872216844143272
Cusco,La Convención,809,6712,10286,378,136,2.026221692491061,3.674897919502236
Cusco,Paucartambo,811,2512,2882,1,1,0.03980891719745223,0.03469812630117974
Huánuco,Huánuco,1001,15230,21671,2,1,0.006565988181221274,0.009228923446080015
Huánuco,Ambo,1002,2983,5435,1,0,0.0,0.01839926402943882
